experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
E_v2_v3_reweight2_1_early,7500,shoulder_pan,-0.6174337282285585,0.951732830628436,4.58,0.0,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,7500,shoulder_lift,3.030772726876401,2.402980447778189,5.16,0.15,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,7500,elbow_flex,-6.674429736294584,1.9547157628443022,5.73,0.65,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,7500,wrist_flex,-0.0033104592627225316,0.8466907678650265,4.01,0.0,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,7500,wrist_roll,0.4116612657085875,0.12364045655460675,1.15,0.0,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,7500,gripper,0.28472839494340574,0.4411924899778488,9.17,0.0,20,7,3.9061089424096225
E_v2_v3_reweight2_1_early,10000,shoulder_pan,-0.8215594186887636,0.8503431619947956,4.58,0.0,20,7,3.542443576478449
E_v2_v3_reweight2_1_early,10000,shoulder_lift,3.8044856480189795,2.3101918331962197,5.16,0.25,20,7,3.542443576478449
E_v2_v3_reweight2_1_early,10000,elbow_flex,-6.610792575039701,1.890426311819736,5.73,0.65,20,7,3.542443576478449
E_v2_v3_reweight2_1_early,10000,wrist_flex,0.15513890444577355,0.8347934254247646,4.01,0.0,20,7,3.542443576478449
E_v2_v3_reweight2_1_early,10000,wrist_roll,0.3269206985012511,0.11805967901375522,1.15,0.0,20,7,3.542443576478449
E_v2_v3_reweight2_1_early,10000,gripper,-0.11720260481245352,0.43940315027663995,9.17,0.0,20,7,3.542443576478449
F_v3_v4_uniform_THIS,2500,shoulder_pan,-2.1666734590635195,2.36447732389654,4.58,0.1,20,3,9.697248820298608
F_v3_v4_uniform_THIS,2500,shoulder_lift,5.373432486397886,6.370141101083669,5.16,0.4,20,3,9.697248820298608
F_v3_v4_uniform_THIS,2500,elbow_flex,-5.515456423916655,5.052830053498069,5.73,0.5,20,3,9.697248820298608
F_v3_v4_uniform_THIS,2500,wrist_flex,-0.43981959164797646,2.172749724349278,4.01,0.05,20,3,9.697248820298608
F_v3_v4_uniform_THIS,2500,wrist_roll,0.5794845803753355,1.0995895034917753,1.15,0.4,20,3,9.697248820298608
F_v3_v4_uniform_THIS,2500,gripper,4.489458428817916,1.7061188999712016,9.17,0.0,20,3,9.697248820298608
F_v3_v4_uniform_THIS,5000,shoulder_pan,-0.9062543764219179,1.140050595533435,4.58,0.0,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,5000,shoulder_lift,0.9697886875697606,3.528846135951896,5.16,0.1,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,5000,elbow_flex,-4.048357806362944,2.8772335816201466,5.73,0.2,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,5000,wrist_flex,-0.4212704354590116,1.0931714092641935,4.01,0.0,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,5000,wrist_roll,0.35577325663723747,0.4455978006413265,1.15,0.05,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,5000,gripper,1.430394183593919,0.712718242425679,9.17,0.0,20,13,5.4099614322394505
F_v3_v4_uniform_THIS,7500,shoulder_pan,1.6434680089845763,0.8470039950556019,4.58,0.0,20,12,5.180921912926766
F_v3_v4_uniform_THIS,7500,shoulder_lift,0.8837497166224949,3.207647492131091,5.16,0.1,20,12,5.180921912926766
F_v3_v4_uniform_THIS,7500,elbow_flex,-4.607999453701811,2.2732669798221874,5.73,0.35,20,12,5.180921912926766
F_v3_v4_uniform_THIS,7500,wrist_flex,-0.4852675134009061,0.7454860598177149,4.01,0.0,20,12,5.180921912926766
F_v3_v4_uniform_THIS,7500,wrist_roll,0.34774460635342397,0.30632325774869956,1.15,0.0,20,12,5.180921912926766
F_v3_v4_uniform_THIS,7500,gripper,0.15573264260881112,0.4243188255269911,9.17,0.0,20,12,5.180921912926766
F_v3_v4_uniform_THIS,10000,shoulder_pan,0.4190481290712464,0.7165598008255284,4.58,0.0,20,13,4.3815809661065845
F_v3_v4_uniform_THIS,10000,shoulder_lift,1.0511756352015964,2.828251384540657,5.16,0.1,20,13,4.3815809661065845
F_v3_v4_uniform_THIS,10000,elbow_flex,-4.5207615234039595,1.9616367068788325,5.73,0.3,20,13,4.3815809661065845
F_v3_v4_uniform_THIS,10000,wrist_flex,-0.5419026070898709,0.6552369489416787,4.01,0.0,20,13,4.3815809661065845
F_v3_v4_uniform_THIS,10000,wrist_roll,0.0751346810833434,0.3091072132045554,1.15,0.0,20,13,4.3815809661065845
F_v3_v4_uniform_THIS,10000,gripper,0.7612217535554663,0.4263629511248885,9.17,0.0,20,13,4.3815809661065845
