experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg
reinforcement30_only_v1,7500,step0,2.4603538513183594,1.4204696416854858,1.9404117465019226
reinforcement30_only_v1,7500,step1_2,3.1238017082214355,1.9169857501983643,2.5203937292099
reinforcement30_only_v1,7500,step3_plus,13.249664306640625,8.072587013244629,10.661125659942627
reinforcement30_only_v1,10000,step0,2.4758353233337402,1.5064102411270142,1.9911227822303772
reinforcement30_only_v1,10000,step1_2,2.5816612243652344,1.5722472667694092,2.0769542455673218
reinforcement30_only_v1,10000,step3_plus,9.864120483398438,4.938998699188232,7.401559591293335
combined65_reweight_new2_old1_v1,2500,step0,5.747125625610352,4.692461013793945,5.219793319702148
combined65_reweight_new2_old1_v1,2500,step1_2,5.432015895843506,4.090503215789795,4.76125955581665
combined65_reweight_new2_old1_v1,2500,step3_plus,10.534412384033203,8.590100288391113,9.562256336212158
combined65_reweight_new2_old1_v1,5000,step0,3.114907741546631,2.4552600383758545,2.7850838899612427
combined65_reweight_new2_old1_v1,5000,step1_2,2.3073887825012207,2.6547091007232666,2.4810489416122437
combined65_reweight_new2_old1_v1,5000,step3_plus,4.848324298858643,4.002434253692627,4.425379276275635
combined65_reweight_new2_old1_v1,7500,step0,1.9042327404022217,1.3776485919952393,1.6409406661987305
combined65_reweight_new2_old1_v1,7500,step1_2,1.9037721157073975,1.7424319982528687,1.823102056980133
combined65_reweight_new2_old1_v1,7500,step3_plus,7.138888835906982,9.36839485168457,8.253641843795776
combined65_reweight_new2_old1_v1,10000,step0,1.8018707036972046,1.4313857555389404,1.6166282296180725
combined65_reweight_new2_old1_v1,10000,step1_2,1.9326045513153076,1.7863038778305054,1.8594542145729065
combined65_reweight_new2_old1_v1,10000,step3_plus,6.435625076293945,8.433661460876465,7.434643268585205
combined65_reweight_new3_old1_v1,2500,step0,5.42285680770874,4.856895923614502,5.139876365661621
combined65_reweight_new3_old1_v1,2500,step1_2,3.3765506744384766,4.1476335525512695,3.762092113494873
combined65_reweight_new3_old1_v1,2500,step3_plus,9.062246322631836,12.232916831970215,10.647581577301025
combined65_reweight_new3_old1_v1,5000,step0,4.550463676452637,3.5806686878204346,4.065566182136536
combined65_reweight_new3_old1_v1,5000,step1_2,4.18686580657959,3.166675090789795,3.6767704486846924
combined65_reweight_new3_old1_v1,5000,step3_plus,6.208507061004639,8.62233829498291,7.415422677993774
combined65_reweight_new3_old1_v1,7500,step0,1.9707801342010498,2.071528196334839,2.0211541652679443
combined65_reweight_new3_old1_v1,7500,step1_2,1.7713953256607056,1.9101006984710693,1.8407480120658875
combined65_reweight_new3_old1_v1,7500,step3_plus,6.409492492675781,8.34467887878418,7.3770856857299805
combined65_reweight_new3_old1_v1,10000,step0,1.9484103918075562,1.466183066368103,1.7072967290878296
combined65_reweight_new3_old1_v1,10000,step1_2,2.0355563163757324,1.6558310985565186,1.8456937074661255
combined65_reweight_new3_old1_v1,10000,step3_plus,5.414766788482666,6.809894561767578,6.112330675125122
