experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
reinforcement30_only_7500,7500,elbow_flex,-5.877067599453764,1.7914658416150573,5.73,0.6,20,8,4.57686117827801
reinforcement30_only_7500,7500,wrist_flex,-0.8262049371069609,0.9371199893242057,4.01,0.0,20,8,4.57686117827801
reinforcement30_only_7500,7500,wrist_roll,0.17801606497921743,0.09447266444896095,1.15,0.0,20,8,4.57686117827801
reinforcement30_only_7500,7500,gripper,0.3044064631044165,0.4154767538727182,9.17,0.0,20,8,4.57686117827801
reweight_2to1_10000,10000,shoulder_pan,-0.3153107538328063,0.8219285896392317,4.58,0.0,20,8,3.3128641482859416
reweight_2to1_10000,10000,shoulder_lift,3.9601878574916354,2.57271491209972,5.16,0.25,20,8,3.3128641482859416
reweight_2to1_10000,10000,elbow_flex,-6.114929995693998,1.8393014401680103,5.73,0.6,20,8,3.3128641482859416
reweight_2to1_10000,10000,wrist_flex,-0.15142657101809362,0.8713274745562084,4.01,0.0,20,8,3.3128641482859416
reweight_2to1_10000,10000,wrist_roll,0.3234564765469054,0.11673636897474249,1.15,0.0,20,8,3.3128641482859416
reweight_2to1_10000,10000,gripper,-0.2625747571409448,0.42022144493346736,9.17,0.0,20,8,3.3128641482859416
reweight_3to1_10000,10000,shoulder_pan,-0.39205521489237666,0.7744294021164645,4.58,0.0,20,6,3.666692475932198
reweight_3to1_10000,10000,shoulder_lift,3.3315230778285496,2.620165414785847,5.16,0.25,20,6,3.666692475932198
reweight_3to1_10000,10000,elbow_flex,-6.268790850796537,1.9632936364827926,5.73,0.7,20,6,3.666692475932198
reweight_3to1_10000,10000,wrist_flex,-0.2814808541601835,0.9627914070241195,4.01,0.0,20,6,3.666692475932198
reweight_3to1_10000,10000,wrist_roll,0.2694687112347106,0.13476311971734067,1.15,0.0,20,6,3.666692475932198
reweight_3to1_10000,10000,gripper,-0.5249837766111597,0.3151882870856364,9.17,0.0,20,6,3.666692475932198
v4_fresh,2500,shoulder_pan,-0.8051060094938173,2.0391736491416284,4.58,0.0,20,1,9.929214944959394
v4_fresh,2500,shoulder_lift,4.166448920113706,6.54860461391306,5.16,0.4,20,1,9.929214944959394
v4_fresh,2500,elbow_flex,-10.582519946255525,4.961923979187628,5.73,0.8,20,1,9.929214944959394
v4_fresh,2500,wrist_flex,-0.49540507138430456,2.2908800907652345,4.01,0.05,20,1,9.929214944959394
v4_fresh,2500,wrist_roll,1.192262540675781,1.1631421356403675,1.15,0.55,20,1,9.929214944959394
v4_fresh,2500,gripper,0.738561593490769,1.1591427494607538,9.17,0.0,20,1,9.929214944959394
v4_fresh,5000,shoulder_pan,-1.3578973188505068,1.1935997111850587,4.58,0.0,20,4,5.608483770482891
v4_fresh,5000,shoulder_lift,6.072150366646909,4.081755928397317,5.16,0.5,20,4,5.608483770482891
v4_fresh,5000,elbow_flex,-6.457749591030913,2.9124039883963126,5.73,0.65,20,4,5.608483770482891
v4_fresh,5000,wrist_flex,-2.182393901950711,1.2937295987036146,4.01,0.05,20,4,5.608483770482891
v4_fresh,5000,wrist_roll,0.18480772814907825,0.5525964603410314,1.15,0.05,20,4,5.608483770482891
v4_fresh,5000,gripper,0.4270273317872778,0.765964495636713,9.17,0.0,20,4,5.608483770482891
v4_fresh,7500,shoulder_pan,-0.37720898533915415,0.8895862428057416,4.58,0.0,20,6,4.4429131292010995
v4_fresh,7500,shoulder_lift,2.3812198093959323,2.990641958022713,5.16,0.2,20,6,4.4429131292010995
v4_fresh,7500,elbow_flex,-6.354528460659819,2.3656144083508344,5.73,0.65,20,6,4.4429131292010995
v4_fresh,7500,wrist_flex,-0.1884192162817655,0.7685086109502004,4.01,0.0,20,6,4.4429131292010995
v4_fresh,7500,wrist_roll,0.3892392619625548,0.3695684989951231,1.15,0.05,20,6,4.4429131292010995
v4_fresh,7500,gripper,0.007668410736252529,0.3776359081154002,9.17,0.0,20,6,4.4429131292010995
v4_fresh,10000,shoulder_pan,-0.5087901964292421,0.802768907346599,4.58,0.0,20,6,4.700740462113819
v4_fresh,10000,shoulder_lift,2.1332122257777684,2.8779069239075605,5.16,0.1,20,6,4.700740462113819
v4_fresh,10000,elbow_flex,-6.877414736904936,2.2184883948185523,5.73,0.7,20,6,4.700740462113819
v4_fresh,10000,wrist_flex,0.09641488253415247,0.7053574920337469,4.01,0.0,20,6,4.700740462113819
v4_fresh,10000,wrist_roll,0.18610675177731312,0.35115197541409904,1.15,0.0,20,6,4.700740462113819
v4_fresh,10000,gripper,0.23956285615556405,0.40038324575350537,9.17,0.0,20,6,4.700740462113819
