candidate,track,scene_id,seed,wall_time_s,step_count,ended_reason,ended_by_safety_reject,real_follower_write_count,kinematic_pick_drop_success,physics_pick_drop_success,approach_success,approach_min_dist_m,grasp_pose_reached,gripper_close_detected,gripper_close_timing_ok,lift_success,lift_max_height_m,carry_direction_ok,carry_bin_dist_trend,bin_vicinity_reached,ee_bin_min_dist_m,gripper_release_detected,release_timing_ok,grasp_contact_detected,cube_secured,physics_lifted,physics_carried,physics_released,physics_dropped_early,physics_final_in_bin,safety_accept_count,safety_would_clamp_count,safety_reject_count,clamp_free,mean_abs_jerk_deg,max_single_step_delta_deg,failure_reason,failure_track,failure_cause,episode_index,dataset_root
A,secondary,mujoco_rollout_test02,0,99.13,400,max_steps_reached,False,0,False,False,False,0.0763,False,False,False,False,0.0,False,0.0,False,0.3256,False,False,False,False,False,False,False,False,False,37,363,0,False,0.8353871891027466,5.117212295532227,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test02,1,100.82,400,max_steps_reached,False,0,False,False,False,0.0851,False,False,False,False,0.0,False,0.0,False,0.3256,False,False,False,False,False,False,False,False,False,138,262,0,False,0.9058935571643699,7.851275444030762,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test02,2,99.27,400,max_steps_reached,False,0,False,False,False,0.1094,False,False,False,False,0.0,False,0.0,False,0.3256,False,False,False,False,False,False,False,False,False,214,186,0,False,0.8651774044814614,5.8544464111328125,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test03,0,98.57,400,max_steps_reached,False,0,False,False,False,0.1301,False,False,False,False,0.0,False,0.0,False,0.3215,False,False,False,False,False,False,False,False,False,52,348,0,False,0.8639081289703454,6.264951705932617,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test03,1,98.78,400,max_steps_reached,False,0,False,False,False,0.1276,False,False,False,False,0.0,False,0.0,False,0.3215,False,False,False,False,False,False,False,False,False,72,328,0,False,0.8920185354142387,6.965886395694035,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test03,2,98.91,400,max_steps_reached,False,0,False,False,False,0.133,False,False,False,False,0.0,False,0.0,False,0.3215,False,False,False,False,False,False,False,False,False,102,298,0,False,0.8651722887168269,6.25075693149806,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test04,0,98.77,400,max_steps_reached,False,0,False,False,True,0.0531,False,False,False,False,0.0,False,0.0,False,0.3206,False,False,False,False,False,False,False,False,False,50,350,0,False,0.8475940118521442,6.524225234985352,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test04,1,99.0,400,max_steps_reached,False,0,False,False,True,0.0539,False,False,False,False,0.0,False,0.0,False,0.3206,False,False,False,False,False,False,False,False,False,61,339,0,False,0.8741091312574056,5.961295127868652,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test04,2,98.94,400,max_steps_reached,False,0,False,False,True,0.0539,False,False,False,False,0.0,False,0.0,False,0.3206,False,False,False,False,False,False,False,False,False,114,286,0,False,0.8624342567919844,6.779504204170564,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test05,0,97.24,400,max_steps_reached,False,0,False,False,True,0.0234,True,False,False,False,0.0,False,0.0,False,0.3306,False,False,False,False,False,False,False,False,False,36,364,0,False,0.8372646187331383,5.54598331451416,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test05,1,96.2,400,max_steps_reached,False,0,False,False,True,0.0243,True,False,False,False,0.0,False,0.0,False,0.3306,False,False,False,False,False,False,False,False,False,39,361,0,False,0.9137979270525077,5.672264769177598,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test05,2,97.6,400,max_steps_reached,False,0,False,False,True,0.0239,True,False,False,False,0.0,False,0.0,False,0.33,False,False,False,False,False,False,False,False,False,160,240,0,False,0.8707105471797685,6.495847629555485,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test06,0,98.02,400,max_steps_reached,False,0,False,False,False,0.0782,False,False,False,False,0.0,False,0.0,False,0.3247,False,False,False,False,False,False,False,False,False,172,228,0,False,0.9150073020424061,5.237138748168945,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test06,1,99.07,400,max_steps_reached,False,0,False,False,False,0.0779,False,False,False,False,0.0,False,0.0,False,0.3247,False,False,False,False,False,False,False,False,False,150,250,0,False,0.9222235891442432,6.855380058288574,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test06,2,99.45,400,max_steps_reached,False,0,False,False,False,0.0782,False,False,False,False,0.0,False,0.0,False,0.3247,False,False,False,False,False,False,False,False,False,187,213,0,False,0.8535971132533876,6.453689200569542,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test07,0,97.22,400,max_steps_reached,False,0,False,False,False,0.1431,False,True,False,True,0.0264,False,-0.0035,False,0.3288,False,False,False,False,False,False,False,False,False,59,341,0,False,0.838065033461759,4.760164260864258,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test07,1,99.99,400,max_steps_reached,False,0,False,False,False,0.1431,False,True,False,False,0.0189,False,0.0,False,0.3289,False,False,False,False,False,False,False,False,False,67,333,0,False,0.9085902299542221,5.253904342651367,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test07,2,96.83,400,max_steps_reached,False,0,False,False,False,0.1421,False,False,False,False,0.0,False,0.0,False,0.3282,False,False,False,False,False,False,False,False,False,215,185,0,False,0.8034094002115016,6.40323634726164,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test08,0,98.83,400,max_steps_reached,False,0,False,False,False,0.1359,False,False,False,False,0.0,False,0.0,False,0.3276,False,False,False,False,False,False,False,False,False,71,329,0,False,0.848601402671995,5.374174118041992,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test08,1,100.54,400,max_steps_reached,False,0,False,False,False,0.1359,False,True,False,True,0.033,False,-0.0073,False,0.3276,False,False,False,False,False,False,False,False,False,78,322,0,False,0.8801480061094454,6.0706377029418945,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test08,2,100.15,400,max_steps_reached,False,0,False,False,False,0.1359,False,False,False,False,0.0,False,0.0,False,0.3276,False,False,False,False,False,False,False,False,False,236,164,0,False,0.87584371017779,6.377233731141928,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test09,0,100.9,400,max_steps_reached,False,0,False,False,False,0.1589,False,False,False,False,0.0,False,0.0,False,0.3324,False,False,False,False,False,False,False,False,False,40,360,0,False,0.8351259169950932,4.74575138092041,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test09,1,99.18,400,max_steps_reached,False,0,False,False,False,0.1589,False,False,False,False,0.0,False,0.0,False,0.3324,False,False,False,False,False,False,False,False,False,46,354,0,False,0.8676992116789892,5.973602294921875,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test09,2,98.5,400,max_steps_reached,False,0,False,False,False,0.1589,False,False,False,False,0.0,False,0.0,False,0.3324,False,False,False,False,False,False,False,False,False,54,346,0,False,0.842823805814243,6.403738838942246,failed_approach,kinematic,timeout,,
A,secondary,mujoco_rollout_test10,0,98.27,400,max_steps_reached,False,0,False,False,True,0.0566,False,False,False,False,0.0,False,0.0,False,0.3269,False,False,False,False,False,False,False,False,False,82,318,0,False,0.8771410889787014,5.018178939819336,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test10,1,97.23,400,max_steps_reached,False,0,False,False,True,0.0461,False,False,False,False,0.0,False,0.0,False,0.3269,False,False,False,False,False,False,False,False,False,309,91,0,False,0.9399254242139964,6.337472915649414,missed_grasp,kinematic,policy_trajectory,,
A,secondary,mujoco_rollout_test10,2,99.35,400,max_steps_reached,False,0,False,False,False,0.0972,False,False,False,False,0.0,False,0.0,False,0.3269,False,False,False,False,False,False,False,False,False,314,86,0,False,0.9265053275090618,6.004606079534852,failed_approach,kinematic,timeout,,
B,primary,mujoco_rollout_test01,0,2.68,350,episode_exhausted,False,0,False,False,False,0.1364,False,False,False,False,0.0,False,0.0,False,0.3238,False,False,False,False,False,False,False,False,False,236,114,0,False,1.5350391643169141,25.30878875732422,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test01,1,2.58,350,episode_exhausted,False,0,False,False,False,0.1375,False,False,False,False,0.0,False,0.0,False,0.3261,False,False,False,False,False,False,False,False,False,229,121,0,False,1.4324082756983714,22.79883861541748,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test01,2,2.51,350,episode_exhausted,False,0,False,False,False,0.1322,False,False,False,False,0.0,False,0.0,False,0.3222,False,False,False,False,False,False,False,False,False,218,132,0,False,1.4732834205812535,22.68700454711914,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test02,0,2.51,350,episode_exhausted,False,0,False,False,False,0.1429,False,True,False,True,0.1722,False,-0.3237,False,0.2734,False,False,False,False,False,False,False,False,False,198,152,0,False,1.4537814796999424,28.40786878085234,failed_approach,kinematic,timeout,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test02,1,2.79,350,episode_exhausted,False,0,False,False,False,0.1481,False,True,False,True,0.1902,False,-0.3048,False,0.2775,False,False,False,False,False,False,False,False,False,183,167,0,False,1.4769896149633666,24.924135208129883,failed_approach,kinematic,timeout,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test02,2,2.66,350,episode_exhausted,False,0,False,False,False,0.1398,False,True,False,True,0.1701,False,-0.3369,False,0.2736,False,False,False,False,False,False,False,False,False,195,155,0,False,1.4211025720103432,19.978439982360975,failed_approach,kinematic,timeout,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test03,0,2.64,350,episode_exhausted,False,0,False,False,True,0.0571,False,False,False,False,0.0,False,0.0,False,0.3161,False,False,False,False,False,False,False,False,False,188,162,0,False,1.4474872233608798,21.41642395019531,missed_grasp,kinematic,policy_trajectory,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test03,1,2.59,350,episode_exhausted,False,0,False,False,False,0.0625,False,False,False,False,0.0,False,0.0,False,0.315,False,False,False,False,False,False,False,False,False,204,146,0,False,1.4229144722218439,19.837119102478027,failed_approach,kinematic,timeout,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test03,2,2.69,350,episode_exhausted,False,0,False,False,True,0.059,False,True,False,True,0.1593,False,-0.2554,False,0.3163,False,False,False,False,False,False,False,False,False,201,149,0,False,1.446576223929163,22.255695343017578,missed_grasp,kinematic,policy_trajectory,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test04,0,2.55,350,episode_exhausted,False,0,False,False,True,0.052,False,False,False,False,0.0,False,0.0,False,0.227,False,False,False,False,False,False,False,False,False,177,173,0,False,1.3917034185402677,27.95534324645996,missed_grasp,kinematic,policy_trajectory,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test04,1,2.62,350,episode_exhausted,False,0,False,False,True,0.0537,False,False,False,False,0.0,False,0.0,False,0.2215,False,False,False,False,False,False,False,False,False,135,215,0,False,1.4003185265896891,29.192678451538086,missed_grasp,kinematic,policy_trajectory,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test04,2,2.64,350,episode_exhausted,False,0,False,False,True,0.0528,False,True,False,True,0.1564,False,-0.3878,False,0.2276,False,False,False,False,False,False,False,False,False,151,199,0,False,1.439296413578806,25.737059593200684,missed_grasp,kinematic,policy_trajectory,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test05,0,2.6,350,episode_exhausted,False,0,False,False,True,0.0232,True,True,False,True,0.1363,False,-0.243,False,0.3243,False,False,False,False,False,False,False,False,False,215,135,0,False,1.3856453519873184,20.21619987487793,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test05,1,2.55,350,episode_exhausted,False,0,False,False,True,0.0243,True,True,False,True,0.1546,False,-0.2359,False,0.3195,False,False,False,False,False,False,False,False,False,209,141,0,False,1.396940869413994,20.69305419921875,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test05,2,2.72,350,episode_exhausted,False,0,False,False,True,0.0244,True,True,False,True,0.1453,False,-0.2355,False,0.3207,False,False,False,False,False,False,False,False,False,208,142,0,False,1.4462266504224701,16.960278511047363,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
B,primary,mujoco_rollout_test06,0,2.74,350,episode_exhausted,False,0,False,False,True,0.019,True,True,True,True,0.1728,False,-0.2817,False,0.315,False,False,False,False,False,False,False,False,False,189,161,0,False,1.4208069274954795,27.32952880859375,wrong_direction,kinematic,policy_trajectory,5,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
