dataset_a,episode_a,frame_a,dataset_b,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,17,7,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,8,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,9,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,10,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,11,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,12,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,13,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,14,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,15,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,18,13,v2_clean,22,23,2.1905,0.7033,4.6593,3.9560,-0.9231,-6.0220,5.0989,5.0989
v2_clean,18,14,v2_clean,22,23,2.2238,0.7033,4.6593,3.9560,-0.9231,-6.0220,5.0989,5.0989
v2_clean,18,15,v2_clean,22,23,2.3406,0.4396,4.6593,4.2198,-0.9231,-6.0220,5.0989,5.0989
v2_clean,18,16,v2_clean,22,23,2.4313,0.2637,4.6593,4.3956,-0.9231,-6.0220,5.0989,5.0989
v2_clean,20,8,v2_clean,22,23,2.5106,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,20,9,v2_clean,22,23,2.5106,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,21,3,v2_clean,22,23,1.8885,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,21,4,v2_clean,22,23,1.8885,-0.4396,4.6593,5.0989,-2.3297,-6.0220,3.6923,5.0989
v2_clean,21,5,v2_clean,22,23,1.8885,-0.4396,4.6593,5.0989,-2.3297,-6.0220,3.6923,5.0989
v2_clean,21,6,v2_clean,22,23,1.8885,-0.4396,4.6593,5.0989,-2.3297,-6.0220,3.6923,5.0989
v2_clean,9,16,v2_clean,22,23,2.4496,-0.3517,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
v2_clean,9,17,v2_clean,22,23,2.4496,-0.3517,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
v2_clean,9,18,v2_clean,22,23,2.4496,-0.3517,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
v2_clean,17,16,v2_clean,22,23,1.8542,-0.3517,4.6593,5.0110,-2.1538,-6.0220,3.8681,5.0110
v2_clean,17,17,v2_clean,22,23,1.8542,-0.3517,4.6593,5.0110,-2.1538,-6.0220,3.8681,5.0110
v2_clean,15,16,v2_clean,22,23,2.2463,-0.3516,4.6593,5.0110,-2.3297,-6.0220,3.6923,5.0110
