dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,22,wrist_flex,24,0.3077,0.3077,0.3077,0.3077,4.01,0.0000
v2_clean,22,wrist_roll,24,0.2308,0.2198,0.3516,0.3516,1.15,0.0000
v2_clean,22,gripper,24,0.3906,0.3906,0.3906,0.3906,9.17,0.0000
v2_clean,23,shoulder_pan,26,0.6323,0.6154,0.7033,0.7033,4.58,0.0000
v2_clean,23,shoulder_lift,26,0.5917,0.2637,2.8791,3.6923,5.16,0.0000
v2_clean,23,elbow_flex,26,2.3094,2.0659,3.9341,4.5275,5.73,0.0000
v2_clean,23,wrist_flex,26,0.7878,0.7472,1.0110,1.0110,4.01,0.0000
v2_clean,23,wrist_roll,26,0.3516,0.3516,0.3516,0.3516,1.15,0.0000
v2_clean,23,gripper,26,0.3906,0.3906,0.3906,0.3906,9.17,0.0000
v2_clean,24,shoulder_pan,15,0.9670,0.9670,0.9670,0.9670,4.58,0.0000
v2_clean,24,shoulder_lift,15,1.0784,0.4396,3.7890,4.2198,5.16,0.0000
v2_clean,24,elbow_flex,15,2.6872,2.4176,3.9560,4.2637,5.73,0.0000
v2_clean,24,wrist_flex,15,0.4835,0.4835,0.4835,0.4835,4.01,0.0000
v2_clean,24,wrist_roll,15,0.3575,0.3516,0.3780,0.4396,1.15,0.0000
v2_clean,24,gripper,15,0.3035,0.3035,0.3035,0.3035,9.17,0.0000
v2_clean,25,shoulder_pan,20,0.8176,0.7912,0.9714,1.0549,4.58,0.0000
v2_clean,25,shoulder_lift,20,0.7604,0.4396,2.5802,3.1648,5.16,0.0000
v2_clean,25,elbow_flex,20,1.6527,1.1868,3.8506,4.3516,5.73,0.0000
v2_clean,25,wrist_flex,20,0.8659,0.9231,1.0110,1.0110,4.01,0.0000
v2_clean,25,wrist_roll,20,0.1099,0.0879,0.1758,0.1758,1.15,0.0000
v2_clean,25,gripper,20,0.3134,0.2815,0.3525,0.3525,9.17,0.0000
v2_clean,26,shoulder_pan,23,0.6077,0.6154,0.6154,0.6154,4.58,0.0000
v2_clean,26,shoulder_lift,23,0.5275,0.4396,1.8374,2.8132,5.16,0.0000
v2_clean,26,elbow_flex,23,2.7386,2.4176,4.3165,4.7912,5.73,0.0000
v2_clean,26,wrist_flex,23,0.8581,0.8352,1.0110,1.0110,4.01,0.0000
v2_clean,26,wrist_roll,23,0.1949,0.1758,0.2637,0.2637,1.15,0.0000
v2_clean,26,gripper,23,0.3645,0.3799,0.3799,0.3799,9.17,0.0000
v2_clean,27,shoulder_pan,19,0.0879,0.0879,0.0879,0.0879,4.58,0.0000
v2_clean,27,shoulder_lift,19,0.7958,0.3517,3.2264,3.7802,5.16,0.0000
v2_clean,27,elbow_flex,19,2.3250,1.9780,3.5516,4.2637,5.73,0.0000
v2_clean,27,wrist_flex,19,0.3169,0.3077,0.4835,0.4835,4.01,0.0000
v2_clean,27,wrist_roll,19,0.2406,0.2637,0.2637,0.2637,1.15,0.0000
v2_clean,27,gripper,19,0.3015,0.3015,0.3015,0.3015,9.17,0.0000
v2_clean,28,shoulder_pan,17,0.2637,0.2637,0.2637,0.2637,4.58,0.0000
v2_clean,28,shoulder_lift,17,0.7292,0.6154,1.9516,2.7253,5.16,0.0000
v2_clean,28,elbow_flex,17,2.5314,2.0659,4.8967,5.6703,5.73,0.0000
v2_clean,28,wrist_flex,17,0.6852,0.6593,0.8352,0.8352,4.01,0.0000
v2_clean,28,wrist_roll,17,0.1034,0.0000,0.2637,0.2637,1.15,0.0000
v2_clean,28,gripper,17,0.1615,0.1615,0.1615,0.1615,9.17,0.0000
v2_clean,29,shoulder_pan,26,0.6120,0.7912,0.7912,0.7912,4.58,0.0000
v2_clean,29,shoulder_lift,26,0.5309,0.5275,0.8571,0.9670,5.16,0.0000
v2_clean,29,elbow_flex,26,2.2147,2.0220,3.4286,4.1758,5.73,0.0000
v2_clean,29,wrist_flex,26,0.9738,1.0989,1.6264,2.2418,4.01,0.0000
v2_clean,29,wrist_roll,26,0.0845,0.0879,0.1758,0.2637,1.15,0.0000
v2_clean,29,gripper,26,0.0313,0.0313,0.0313,0.0313,9.17,0.0000
v2_clean,30,shoulder_pan,20,0.7868,0.7033,1.1429,1.1429,4.58,0.0000
v2_clean,30,shoulder_lift,20,0.6637,0.4396,2.0571,2.7253,5.16,0.0000
v2_clean,30,elbow_flex,20,2.4835,2.1099,3.6879,4.4396,5.73,0.0000
v2_clean,30,wrist_flex,20,0.2198,0.1319,0.5714,0.5714,4.01,0.0000
v2_clean,30,wrist_roll,20,0.2989,0.3077,0.3516,0.3516,1.15,0.0000
v2_clean,30,gripper,20,0.1635,0.1635,0.1635,0.1635,9.17,0.0000
v2_clean,31,shoulder_pan,26,1.0921,1.0989,1.1429,1.1429,4.58,0.0000
v2_clean,31,shoulder_lift,26,0.3381,0.3077,0.4396,0.4396,5.16,0.0000
v2_clean,31,elbow_flex,26,2.1471,1.8462,3.6703,4.8791,5.73,0.0000
