experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
combined65_early_weight_v1,7500,shoulder_lift,3.2529387882777683,2.732862795225781,5.16,0.25,20,5,4.403173070713121
combined65_early_weight_v1,7500,elbow_flex,-6.94469607845767,2.4162776842016127,5.73,0.75,20,5,4.403173070713121
combined65_early_weight_v1,7500,wrist_flex,-0.6889246636694608,1.0010462031754972,4.01,0.0,20,5,4.403173070713121
combined65_early_weight_v1,7500,wrist_roll,0.26261272273220815,0.1453317431351385,1.15,0.0,20,5,4.403173070713121
combined65_early_weight_v1,7500,gripper,0.33102861543290774,0.5769612830112316,9.17,0.0,20,5,4.403173070713121
combined65_early_weight_v1,10000,shoulder_pan,-0.4020773782834901,0.8333658150061664,4.58,0.0,20,5,3.9351840131618694
combined65_early_weight_v1,10000,shoulder_lift,3.1389861515590183,2.4679205657049357,5.16,0.25,20,5,3.9351840131618694
combined65_early_weight_v1,10000,elbow_flex,-6.461300311245756,2.212179379719786,5.73,0.75,20,5,3.9351840131618694
combined65_early_weight_v1,10000,wrist_flex,-0.7268692666357695,0.9931075712260823,4.01,0.0,20,5,3.9351840131618694
combined65_early_weight_v1,10000,wrist_roll,0.21939284644284046,0.13000566006237646,1.15,0.0,20,5,3.9351840131618694
combined65_early_weight_v1,10000,gripper,0.019127475219895107,0.5326301407559358,9.17,0.0,20,5,3.9351840131618694
reinforcement30_only_v1,2500,shoulder_pan,-6.133934153567305,2.964336057594293,4.58,0.65,20,2,12.137405341715997
reinforcement30_only_v1,2500,shoulder_lift,3.2921870640346045,6.967366695211975,5.16,0.35,20,2,12.137405341715997
reinforcement30_only_v1,2500,elbow_flex,-9.757754931607087,5.666858076202553,5.73,0.75,20,2,12.137405341715997
reinforcement30_only_v1,2500,wrist_flex,-2.278086918002957,2.6058241365625014,4.01,0.15,20,2,12.137405341715997
reinforcement30_only_v1,2500,wrist_roll,0.16428198657192983,0.08129115773359498,1.15,0.0,20,2,12.137405341715997
reinforcement30_only_v1,2500,gripper,1.0368085016786357,1.5128569803199226,9.17,0.0,20,2,12.137405341715997
reinforcement30_only_v1,5000,shoulder_pan,-0.9842043771848573,1.2576350695236058,4.58,0.0,20,4,6.276624031993804
reinforcement30_only_v1,5000,shoulder_lift,1.7894549778529636,3.7857707101898286,5.16,0.2,20,4,6.276624031993804
reinforcement30_only_v1,5000,elbow_flex,-7.588074526944001,2.3909625747696195,5.73,0.7,20,4,6.276624031993804
reinforcement30_only_v1,5000,wrist_flex,-1.8465220147436796,1.2950034352510118,4.01,0.05,20,4,6.276624031993804
reinforcement30_only_v1,5000,wrist_roll,0.14940850577511586,0.09287634893158785,1.15,0.0,20,4,6.276624031993804
reinforcement30_only_v1,5000,gripper,1.3210143198549051,0.6057496130563895,9.17,0.0,20,4,6.276624031993804
reinforcement30_only_v1,7500,shoulder_pan,-1.3294775858030214,0.7418800979859178,4.58,0.0,20,8,4.57686117827801
reinforcement30_only_v1,7500,shoulder_lift,1.6050128391810887,2.7861332804140755,5.16,0.1,20,8,4.57686117827801
reinforcement30_only_v1,7500,elbow_flex,-5.877067599453764,1.7914658416150573,5.73,0.6,20,8,4.57686117827801
reinforcement30_only_v1,7500,wrist_flex,-0.8262049371069609,0.9371199893242057,4.01,0.0,20,8,4.57686117827801
reinforcement30_only_v1,7500,wrist_roll,0.17801606497921743,0.09447266444896095,1.15,0.0,20,8,4.57686117827801
reinforcement30_only_v1,7500,gripper,0.3044064631044165,0.4154767538727182,9.17,0.0,20,8,4.57686117827801
reinforcement30_only_v1,10000,shoulder_pan,-1.1403202905759706,0.6534019117064898,4.58,0.0,20,5,4.9693935750396045
reinforcement30_only_v1,10000,shoulder_lift,1.4068133762904638,2.7242844356961156,5.16,0.1,20,5,4.9693935750396045
reinforcement30_only_v1,10000,elbow_flex,-6.906266818203764,1.6835976609251828,5.73,0.75,20,5,4.9693935750396045
reinforcement30_only_v1,10000,wrist_flex,-0.7749724084204374,0.8296684703726058,4.01,0.0,20,5,4.9693935750396045
reinforcement30_only_v1,10000,wrist_roll,0.1813510640636901,0.08896705959989139,1.15,0.0,20,5,4.9693935750396045
reinforcement30_only_v1,10000,gripper,0.17707101007096931,0.342335529998919,9.17,0.0,20,5,4.9693935750396045
