dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,21,elbow_flex,20,2.77802,2.41758,4.81318,5.23077,5.73000,0.00000
v2_clean,21,wrist_flex,20,0.17143,0.21978,0.30769,0.30769,4.01000,0.00000
v2_clean,21,wrist_roll,20,0.19341,0.21978,0.26374,0.26374,1.15000,0.00000
v2_clean,21,gripper,20,0.25254,0.25254,0.25254,0.25254,9.17000,0.00000
v2_clean,22,shoulder_pan,24,0.69597,0.70330,0.70330,0.70330,4.58000,0.00000
v2_clean,22,shoulder_lift,24,0.82051,0.52747,3.30550,4.65934,5.16000,0.00000
v2_clean,22,elbow_flex,24,2.72161,2.24176,5.09890,6.02198,5.73000,0.04167
v2_clean,22,wrist_flex,24,0.30769,0.30769,0.30769,0.30769,4.01000,0.00000
v2_clean,22,wrist_roll,24,0.23077,0.21978,0.35165,0.35165,1.15000,0.00000
v2_clean,22,gripper,24,0.39057,0.39057,0.39057,0.39057,9.17000,0.00000
v2_clean,23,shoulder_pan,26,0.63229,0.61538,0.70330,0.70330,4.58000,0.00000
v2_clean,23,shoulder_lift,26,0.59172,0.26373,2.87912,3.69231,5.16000,0.00000
v2_clean,23,elbow_flex,26,2.30938,2.06593,3.93407,4.52747,5.73000,0.00000
v2_clean,23,wrist_flex,26,0.78783,0.74725,1.01099,1.01099,4.01000,0.00000
v2_clean,23,wrist_roll,26,0.35165,0.35165,0.35165,0.35165,1.15000,0.00000
v2_clean,23,gripper,26,0.39057,0.39057,0.39057,0.39057,9.17000,0.00000
v2_clean,24,shoulder_pan,15,0.96703,0.96703,0.96703,0.96703,4.58000,0.00000
v2_clean,24,shoulder_lift,15,1.07839,0.43956,3.78901,4.21978,5.16000,0.00000
v2_clean,24,elbow_flex,15,2.68718,2.41758,3.95604,4.26374,5.73000,0.00000
v2_clean,24,wrist_flex,15,0.48352,0.48352,0.48352,0.48352,4.01000,0.00000
v2_clean,24,wrist_roll,15,0.35751,0.35165,0.37802,0.43956,1.15000,0.00000
v2_clean,24,gripper,15,0.30348,0.30348,0.30348,0.30348,9.17000,0.00000
v2_clean,25,shoulder_pan,20,0.81758,0.79121,0.97143,1.05494,4.58000,0.00000
v2_clean,25,shoulder_lift,20,0.76044,0.43956,2.58022,3.16483,5.16000,0.00000
v2_clean,25,elbow_flex,20,1.65275,1.18681,3.85055,4.35165,5.73000,0.00000
v2_clean,25,wrist_flex,20,0.86593,0.92308,1.01099,1.01099,4.01000,0.00000
v2_clean,25,wrist_roll,20,0.10989,0.08791,0.17582,0.17582,1.15000,0.00000
v2_clean,25,gripper,20,0.31343,0.28149,0.35246,0.35246,9.17000,0.00000
v2_clean,26,shoulder_pan,23,0.60774,0.61538,0.61538,0.61538,4.58000,0.00000
v2_clean,26,shoulder_lift,23,0.52747,0.43956,1.83736,2.81319,5.16000,0.00000
v2_clean,26,elbow_flex,23,2.73865,2.41758,4.31649,4.79121,5.73000,0.00000
v2_clean,26,wrist_flex,23,0.85810,0.83517,1.01099,1.01099,4.01000,0.00000
v2_clean,26,wrist_roll,23,0.19494,0.17582,0.26374,0.26374,1.15000,0.00000
v2_clean,26,gripper,23,0.36446,0.37989,0.37989,0.37989,9.17000,0.00000
v2_clean,27,shoulder_pan,19,0.08791,0.08791,0.08791,0.08791,4.58000,0.00000
v2_clean,27,shoulder_lift,19,0.79584,0.35165,3.22638,3.78022,5.16000,0.00000
v2_clean,27,elbow_flex,19,2.32505,1.97803,3.55165,4.26374,5.73000,0.00000
v2_clean,27,wrist_flex,19,0.31695,0.30769,0.48352,0.48352,4.01000,0.00000
v2_clean,27,wrist_roll,19,0.24060,0.26374,0.26374,0.26374,1.15000,0.00000
v2_clean,27,gripper,19,0.30152,0.30152,0.30152,0.30152,9.17000,0.00000
v2_clean,28,shoulder_pan,17,0.26374,0.26374,0.26374,0.26374,4.58000,0.00000
v2_clean,28,shoulder_lift,17,0.72915,0.61539,1.95165,2.72527,5.16000,0.00000
v2_clean,28,elbow_flex,17,2.53135,2.06593,4.89670,5.67033,5.73000,0.00000
v2_clean,28,wrist_flex,17,0.68520,0.65934,0.83517,0.83517,4.01000,0.00000
v2_clean,28,wrist_roll,17,0.10343,0.00000,0.26374,0.26374,1.15000,0.00000
v2_clean,28,gripper,17,0.16154,0.16154,0.16154,0.16154,9.17000,0.00000
v2_clean,29,shoulder_pan,26,0.61200,0.79121,0.79121,0.79121,4.58000,0.00000
v2_clean,29,shoulder_lift,26,0.53085,0.52747,0.85714,0.96703,5.16000,0.00000
v2_clean,29,elbow_flex,26,2.21471,2.02198,3.42857,4.17582,5.73000,0.00000
v2_clean,29,wrist_flex,26,0.97379,1.09890,1.62637,2.24176,4.01000,0.00000
v2_clean,29,wrist_roll,26,0.08453,0.08791,0.17582,0.26374,1.15000,0.00000
v2_clean,29,gripper,26,0.03135,0.03135,0.03135,0.03135,9.17000,0.00000
v2_clean,30,shoulder_pan,20,0.78681,0.70330,1.14286,1.14286,4.58000,0.00000
v2_clean,30,shoulder_lift,20,0.66373,0.43956,2.05714,2.72527,5.16000,0.00000
v2_clean,30,elbow_flex,20,2.48352,2.10989,3.68791,4.43956,5.73000,0.00000
v2_clean,30,wrist_flex,20,0.21978,0.13187,0.57143,0.57143,4.01000,0.00000
v2_clean,30,wrist_roll,20,0.29890,0.30769,0.35165,0.35165,1.15000,0.00000
v2_clean,30,gripper,20,0.16350,0.16350,0.16350,0.16350,9.17000,0.00000
v2_clean,31,shoulder_pan,26,1.09214,1.09890,1.14286,1.14286,4.58000,0.00000
v2_clean,31,shoulder_lift,26,0.33812,0.30769,0.43956,0.43956,5.16000,0.00000
v2_clean,31,elbow_flex,26,2.14708,1.84615,3.67033,4.87912,5.73000,0.00000
v2_clean,31,wrist_flex,26,0.83179,0.83517,1.69231,2.85714,4.01000,0.00000
v2_clean,31,wrist_roll,26,0.29079,0.26374,0.35165,0.35165,1.15000,0.00000
v2_clean,31,gripper,26,0.30740,0.30740,0.30740,0.30740,9.17000,0.00000
v2_clean,32,shoulder_pan,20,1.04615,1.05494,1.05494,1.05494,4.58000,0.00000
v2_clean,32,shoulder_lift,20,0.76923,0.39560,3.02857,3.78022,5.16000,0.00000
v2_clean,32,elbow_flex,20,2.22857,2.02198,3.50769,4.17583,5.73000,0.00000
v2_clean,32,wrist_flex,20,0.71649,0.74726,0.83517,0.83517,4.01000,0.00000
v2_clean,32,wrist_roll,20,0.02637,0.00000,0.08791,0.08791,1.15000,0.00000
v2_clean,32,gripper,20,0.11060,0.11060,0.11060,0.11060,9.17000,0.00000
v2_clean,33,shoulder_pan,24,0.21612,0.17582,0.26374,0.26374,4.58000,0.00000
v2_clean,33,shoulder_lift,24,0.79487,0.48352,2.65494,3.69231,5.16000,0.00000
v2_clean,33,elbow_flex,24,2.29671,2.28572,3.54286,4.35165,5.73000,0.00000
v2_clean,33,wrist_flex,24,0.13553,0.13187,0.21978,0.21978,4.01000,0.00000
v2_clean,33,wrist_roll,24,0.16484,0.08791,0.35165,0.35165,1.15000,0.00000
