dataset,episode,joint,n_static_frames,chunk0_abs_delta_mean,chunk_mean_abs_delta_mean,chunk_max_abs_delta_mean,frac_static_frames_chunk_mean_exceeds_would_clamp
v4_train39,22,shoulder_lift,16,0.92857,17.44802,38.60989,1.00000
v4_train39,22,elbow_flex,16,2.57692,13.96198,32.40110,1.00000
v4_train39,23,shoulder_lift,33,0.68998,13.51257,31.50716,0.96970
v4_train39,23,elbow_flex,33,1.71695,10.13296,25.42124,0.78788
v4_train39,24,shoulder_lift,21,0.82051,13.53017,29.84406,1.00000
v4_train39,24,elbow_flex,21,2.03663,11.49061,24.45840,1.00000
v4_train39,25,shoulder_lift,15,0.61538,14.02256,32.82051,1.00000
v4_train39,25,elbow_flex,15,2.16557,10.40997,24.68279,1.00000
v4_train39,26,shoulder_lift,46,0.35356,9.17787,24.03440,0.63043
v4_train39,26,elbow_flex,46,2.07358,7.84608,18.71572,0.56522
v4_train39,27,shoulder_lift,37,0.46095,10.83927,27.52836,0.75676
v4_train39,27,elbow_flex,37,1.54796,11.32954,28.23047,0.75676
v4_train39,28,shoulder_lift,33,0.71661,13.42353,32.63669,0.93939
v4_train39,28,elbow_flex,33,2.29237,11.96803,29.84615,0.87879
v4_train39,29,shoulder_lift,26,0.55452,14.31486,31.96957,1.00000
v4_train39,29,elbow_flex,26,3.09383,15.51168,32.95689,1.00000
v4_train39,30,shoulder_lift,28,0.53375,13.82738,33.12716,1.00000
v4_train39,30,elbow_flex,28,1.78022,14.73275,34.67504,1.00000
v4_train39,31,shoulder_lift,16,0.69231,18.60417,39.64835,1.00000
v4_train39,31,elbow_flex,16,2.62637,17.58077,37.79670,1.00000
v4_train39,32,shoulder_lift,25,0.34110,8.50862,24.41495,0.76000
v4_train39,32,elbow_flex,25,2.59692,12.05457,28.27077,1.00000
v4_train39,33,shoulder_lift,27,0.65771,11.61833,28.16117,0.96296
v4_train39,33,elbow_flex,27,2.36549,11.25132,27.42695,0.96296
v4_train39,34,shoulder_lift,21,0.65725,12.42047,25.24751,1.00000
v4_train39,34,elbow_flex,21,2.09942,18.07070,36.72004,1.00000
v4_train39,35,shoulder_lift,15,0.36337,11.07950,30.08352,1.00000
v4_train39,35,elbow_flex,15,3.09744,17.31306,38.82491,1.00000
v4_train39,36,shoulder_lift,19,0.79583,15.01668,34.54482,1.00000
v4_train39,36,elbow_flex,19,2.49162,15.67158,37.30480,1.00000
v4_train39,37,shoulder_lift,23,0.60774,12.74129,30.35260,1.00000
v4_train39,37,elbow_flex,23,2.60105,14.11578,30.89346,1.00000
v4_train39,38,shoulder_lift,12,1.02564,12.72557,28.43223,1.00000
v4_train39,38,elbow_flex,12,2.88645,14.40894,31.80952,1.00000
v4_heldout6,0,shoulder_lift,45,0.54505,9.58386,26.92063,0.62222
v4_heldout6,0,elbow_flex,45,2.54457,10.53847,25.48572,0.68889
v4_heldout6,1,shoulder_lift,23,0.59627,11.04642,28.19303,1.00000
v4_heldout6,1,elbow_flex,23,2.84949,11.09343,26.51696,1.00000
v4_heldout6,2,shoulder_lift,33,0.59940,11.49117,30.28971,0.84848
v4_heldout6,2,elbow_flex,33,2.50283,12.69078,30.50150,0.93939
v4_heldout6,3,shoulder_lift,28,0.81633,14.47422,36.53689,1.00000
v4_heldout6,3,elbow_flex,28,1.99372,12.72948,31.10204,1.00000
v4_heldout6,4,shoulder_lift,35,0.47975,12.28906,32.32402,0.85714
v4_heldout6,4,elbow_flex,35,3.17363,13.16119,30.17771,0.97143
v4_heldout6,5,shoulder_lift,28,0.46154,7.52923,23.13030,0.67857
v4_heldout6,5,elbow_flex,28,2.86656,10.69363,27.11146,0.92857
