dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,15,6,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,7,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,8,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,9,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,10,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,11,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,12,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,13,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,14,22,23,2.24625,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,15,15,22,23,2.24625,-0.43956,4.65934,5.09890,-2.32967,-6.02198,3.69231,5.09890
v2_clean,16,9,22,23,1.47608,-0.43956,4.65934,5.09890,-2.15384,-6.02198,3.86814,5.09890
v2_clean,16,10,22,23,1.47608,-0.43956,4.65934,5.09890,-2.15384,-6.02198,3.86814,5.09890
v2_clean,16,11,22,23,1.47608,-0.43956,4.65934,5.09890,-2.15384,-6.02198,3.86814,5.09890
v2_clean,17,0,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,1,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,2,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,3,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,4,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,5,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,6,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,7,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,8,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,9,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,10,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,11,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,12,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,13,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,14,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,17,15,22,23,1.85421,-0.43956,4.65934,5.09890,-2.06593,-6.02198,3.95605,5.09890
v2_clean,18,13,22,23,2.19051,0.70330,4.65934,3.95604,-0.92308,-6.02198,5.09890,5.09890
v2_clean,18,14,22,23,2.22377,0.70329,4.65934,3.95605,-0.92308,-6.02198,5.09890,5.09890
v2_clean,18,15,22,23,2.34061,0.43956,4.65934,4.21978,-0.92308,-6.02198,5.09890,5.09890
v2_clean,18,16,22,23,2.43130,0.26373,4.65934,4.39561,-0.92308,-6.02198,5.09890,5.09890
v2_clean,20,8,22,23,2.51061,-0.43956,4.65934,5.09890,-2.24176,-6.02198,3.78022,5.09890
v2_clean,20,9,22,23,2.51061,-0.43956,4.65934,5.09890,-2.24176,-6.02198,3.78022,5.09890
v2_clean,21,3,22,23,1.88851,-0.43956,4.65934,5.09890,-2.24175,-6.02198,3.78023,5.09890
v2_clean,21,4,22,23,1.88851,-0.43956,4.65934,5.09890,-2.32967,-6.02198,3.69231,5.09890
v2_clean,21,5,22,23,1.88851,-0.43956,4.65934,5.09890,-2.32967,-6.02198,3.69231,5.09890
v2_clean,21,6,22,23,1.88851,-0.43956,4.65934,5.09890,-2.32967,-6.02198,3.69231,5.09890
v2_clean,9,16,22,23,2.44959,-0.35165,4.65934,5.01099,-2.32967,-6.02198,3.69231,5.01099
v2_clean,9,17,22,23,2.44959,-0.35165,4.65934,5.01099,-2.32967,-6.02198,3.69231,5.01099
v2_clean,9,18,22,23,2.44959,-0.35165,4.65934,5.01099,-2.32967,-6.02198,3.69231,5.01099
v2_clean,17,16,22,23,1.85421,-0.35165,4.65934,5.01099,-2.15384,-6.02198,3.86814,5.01099
v2_clean,17,17,22,23,1.85421,-0.35165,4.65934,5.01099,-2.15384,-6.02198,3.86814,5.01099
v2_clean,15,16,22,23,2.24625,-0.35165,4.65934,5.01099,-2.32967,-6.02198,3.69231,5.01099
